"timestamp","distance","temperature","co2","humidity","growth_norm","co2_norm","stage","growth"
"2026-03-06 09:17:17","99","27.2","1474","76.2","0.0606","0","0","2"
"2026-03-06 09:18:18","99","27.1","1634","77.4","0.0606","0.00553","0","2"
"2026-03-06 09:19:18","98","27.1","1766","78.2","0.0909","0.0101","0","3"
"2026-03-06 09:20:18","100","27.1","1811","78.8","0.0303","0.0116","0","1"
"2026-03-06 09:21:19","98","27.1","1899","79.3","0.0909","0.0147","0","3"
"2026-03-06 09:22:19","100","27.1","1927","79.6","0.0303","0.0157","0","1"
"2026-03-06 09:23:20","100","27.1","1950","79.9","0.0303","0.0164","0","1"
"2026-03-06 09:24:20","101","27.1","1978","80.1","0","0.0174","0","0"
"2026-03-06 09:25:20","101","27.1","1998","80.3","0","0.0181","0","0"
"2026-03-06 09:26:21","100","27.2","2011","80.4","0.0303","0.0186","0","1"
"2026-03-06 09:27:21","99","27.2","2021","80.6","0.0606","0.0189","0","2"
"2026-03-06 09:28:22","99","27.2","2033","80.6","0.0606","0.0193","0","2"
"2026-03-06 09:29:22","99","27.2","2038","80.7","0.0606","0.0195","0","2"
"2026-03-06 09:30:22","100","27.2","2042","80.7","0.0303","0.0196","0","1"
"2026-03-06 09:31:23","100","27.3","2038","80.8","0.0303","0.0195","0","1"
"2026-03-06 09:32:23","99","27.3","2039","80.8","0.0606","0.0195","0","2"
"2026-03-06 09:33:24","100","27.3","2037","80.8","0.0303","0.0195","0","1"
"2026-03-06 09:34:24","100","27.3","2034","80.8","0.0303","0.0194","0","1"
"2026-03-06 09:35:25","99","27.3","2027","80.8","0.0606","0.0191","0","2"
"2026-03-06 09:36:25","98","27.3","2023","80.8","0.0909","0.019","0","3"
"2026-03-06 09:37:25","100","27.4","2019","80.8","0.0303","0.0188","0","1"
"2026-03-06 09:38:26","99","27.4","2016","80.9","0.0606","0.0187","0","2"
"2026-03-06 09:39:26","100","27.4","2016","80.9","0.0303","0.0187","0","1"
"2026-03-06 09:40:26","100","27.4","2003","80.9","0.0303","0.0183","0","1"
"2026-03-06 09:41:27","98","27.4","2005","80.9","0.0909","0.0183","0","3"
"2026-03-06 09:42:27","99","27.4","2007","80.9","0.0606","0.0184","0","2"
"2026-03-06 09:43:28","100","27.5","2011","80.9","0.0303","0.0186","0","1"
"2026-03-06 09:44:28","100","27.5","2013","80.9","0.0303","0.0186","0","1"
"2026-03-06 09:45:29","100","27.5","2008","80.9","0.0303","0.0185","0","1"
"2026-03-06 09:46:29","99","27.5","1993","80.9","0.0606","0.0179","0","2"
