timestamp,distance,temperature,co2,humidity,stage
2026-02-24 16:21:58,97,31.9,2427,62.0,0
2026-02-24 16:22:58,97,31.8,2891,69.3,0
2026-02-24 16:23:58,97,31.9,2985,70.5,0
2026-02-24 16:24:59,96,32.0,3002,70.9,0
2026-02-24 16:25:59,97,32.1,3030,70.7,0
2026-02-24 16:27:00,96,32.2,3059,70.6,0
2026-02-24 16:28:00,97,32.3,3073,70.5,0
2026-02-24 16:29:00,97,32.4,3088,70.4,0
2026-02-24 16:30:01,96,32.4,3102,70.2,0
2026-02-24 16:31:01,95,32.5,3135,70.2,0
2026-02-24 16:32:02,95,32.6,3161,70.1,0
2026-02-24 16:33:02,96,32.7,3192,70.0,0
2026-02-24 16:34:03,95,32.8,3213,69.8,0
2026-02-24 16:35:03,96,32.9,3234,69.8,0
2026-02-24 16:36:03,95,32.9,3240,69.3,0
2026-02-24 16:37:04,96,33.0,3249,69.0,1
2026-02-24 16:38:04,95,33.0,3257,68.8,1
2026-02-24 16:39:05,95,33.1,3250,68.7,1
2026-02-24 16:40:05,96,33.2,3260,68.5,1
2026-02-24 16:41:06,95,33.3,3272,68.3,1
2026-02-24 16:42:06,95,33.3,3294,68.1,1
2026-02-24 16:43:06,95,33.4,3311,68.0,1
2026-02-24 16:44:07,95,33.4,3332,67.8,1
2026-02-24 16:45:08,94,33.5,3346,67.7,1
2026-02-24 16:46:08,95,33.5,3357,67.6,1
2026-02-24 16:47:09,96,33.5,3367,67.3,1
2026-02-24 16:48:09,94,33.6,3384,66.9,1
2026-02-24 16:49:09,92,33.6,3397,66.8,1
2026-02-24 16:50:10,94,33.6,3399,66.8,1
2026-02-24 16:51:10,93,33.7,3401,66.9,1
2026-02-24 16:52:11,93,33.7,3407,66.7,1
2026-02-24 16:53:11,93,33.7,3404,66.7,1
2026-02-24 16:54:12,91,33.7,3408,66.6,1
2026-02-24 16:55:12,93,33.7,3419,66.6,1
2026-02-24 16:56:13,91,33.7,3433,66.5,1
2026-02-24 16:57:13,91,33.8,3434,66.3,1
2026-02-24 16:58:13,91,33.8,3439,66.4,1
2026-02-24 16:59:14,90,33.8,3445,66.4,1
2026-02-24 17:00:14,90,33.8,3461,66.4,1
2026-02-24 17:01:15,89,33.9,3467,66.1,1
2026-02-24 17:02:15,90,33.9,3475,66.2,1
2026-02-24 17:03:16,90,33.9,3473,65.9,1
2026-02-24 17:04:16,89,33.9,3476,65.9,1
2026-02-24 17:05:17,89,33.9,3482,65.9,1
2026-02-24 17:06:17,88,33.9,3504,66.0,1
