timestamp,distance,temperature,co2,humidity,stage
2026-02-19 15:05:31,97,26.1,1664,71.9,0
2026-02-19 15:22:29,97,26.8,1636,75.4,0
2026-02-19 15:23:31,97,32.6,1702,63.6,0
2026-02-19 15:24:32,98,32.9,1697,63.0,0
2026-02-19 15:25:32,98,33.0,1697,62.5,0
2026-02-19 15:26:34,98,33.1,1695,62.1,0
2026-02-19 15:27:37,97,33.2,1696,61.8,0
2026-02-19 15:28:39,98,33.3,1695,61.7,0
2026-02-19 15:29:39,97,33.4,1691,61.7,0
2026-02-19 15:30:40,97,33.5,1700,61.7,0
2026-02-19 15:31:41,99,33.5,1715,62.0,0
2026-02-19 15:32:59,97,33.6,1727,61.8,0
2026-02-19 15:34:00,98,33.6,1732,62.0,0
2026-02-19 15:35:06,98,33.6,1733,61.8,0
2026-02-19 15:36:12,98,33.7,1738,62.1,0
2026-02-19 15:37:17,97,33.7,1750,62.1,0
2026-02-19 15:38:18,97,33.8,1761,62.3,0
2026-02-19 15:39:19,95,33.8,1775,62.4,0
2026-02-19 15:40:19,95,33.9,1783,62.6,0
2026-02-19 15:41:20,96,33.9,1803,62.1,0
2026-02-19 15:42:20,96,33.9,1819,62.2,0
2026-02-19 15:43:21,95,33.9,1825,62.2,0
2026-02-19 15:44:38,97,34.0,1830,62.6,0
2026-02-19 15:45:41,96,33.9,1859,63.2,0
2026-02-19 15:46:46,95,34.0,1867,62.9,0
2026-02-19 15:47:47,96,34.0,1875,62.9,0
2026-02-19 15:48:51,94,34.1,1890,62.9,0
2026-02-19 15:49:53,95,34.1,1900,62.9,0
2026-02-19 15:50:53,93,34.1,1906,62.7,1
2026-02-19 15:51:58,95,34.1,1911,62.8,1
2026-02-19 15:52:59,95,34.0,1912,63.1,1
2026-02-19 15:54:04,94,34.1,1921,63.4,1
2026-02-19 15:55:05,95,34.1,1925,63.5,1
2026-02-19 15:56:07,95,34.1,1921,63.3,1
2026-02-19 15:57:10,95,34.1,1927,64.0,1
2026-02-19 15:58:15,94,34.1,1929,64.4,1
2026-02-19 15:59:20,92,34.0,1937,64.3,1
2026-02-19 16:00:36,92,34.0,1924,64.5,1
2026-02-19 16:01:41,93,34.0,1925,64.7,1
2026-02-19 16:04:47,93,34.0,1923,64.7,1
2026-02-19 16:05:48,92,34.0,1953,65.3,1
2026-02-19 16:06:49,93,34.0,1971,65.0,1
2026-02-19 16:07:51,91,34.1,1982,65.2,1
2026-02-19 16:09:57,91,34.1,2008,65.7,1
2026-02-19 16:11:13,91,34.0,2034,66.0,1
2026-02-19 16:13:48,89,34.0,2056,66.5,1
2026-02-19 16:14:57,89,34.0,2105,66.6,1
2026-02-19 16:15:58,88,34.1,2114,66.5,1
2026-02-19 16:17:01,87,34.1,2112,66.5,1
2026-02-19 16:18:03,88,34.2,2136,66.3,1
2026-02-19 16:19:05,87,34.2,2139,66.3,1
2026-02-19 16:20:16,88,34.2,2141,66.3,1
2026-02-19 16:21:17,87,34.1,2147,66.6,1
2026-02-19 16:22:19,85,34.2,2156,66.3,1
2026-02-19 16:23:20,85,34.2,2166,66.2,1
2026-02-19 16:24:21,86,34.2,2151,66.2,1
2026-02-19 16:25:22,85,34.2,2130,66.3,1
2026-02-19 16:26:25,84,34.2,2112,67.0,1
2026-02-19 16:27:26,85,34.1,2112,66.9,1
2026-02-19 16:28:29,84,34.1,2129,67.0,1
2026-02-19 16:29:29,86,34.1,2157,67.0,1
2026-02-19 16:30:29,85,34.1,2177,66.9,1
2026-02-19 16:31:33,82,34.1,2205,67.1,1
